id;Datetime stamp;TAG
204372;2018-08-23 14:27:01;TAG#14
204373;2018-08-23 14:27:02;TAG#14
204374;2018-08-23 14:27:02;TAG#14
204375;2018-08-23 14:27:12;TAG#14
204376;2018-08-23 14:27:13;TAG#14
204377;2018-08-23 14:27:13;TAG#14
204378;2018-08-23 14:27:14;TAG#14
204379;2018-08-23 14:27:15;TAG#14
204380;2018-08-23 14:27:15;TAG#14
204381;2018-08-23 14:27:16;TAG#14
204382;2018-08-23 14:27:16;TAG#14
204383;2018-08-23 14:27:17;TAG#14
204384;2018-08-23 14:27:17;TAG#14
204385;2018-08-23 14:27:18;TAG#14
204386;2018-08-23 14:27:19;TAG#14
204387;2018-08-23 14:27:19;TAG#14
204388;2018-08-23 14:27:20;TAG#14
204389;2018-08-23 14:27:20;TAG#14
204390;2018-08-23 14:27:21;TAG#14
204391;2018-08-23 14:27:22;TAG#14
204392;2018-08-23 14:27:22;TAG#14
204393;2018-08-23 14:27:23;TAG#14
204394;2018-08-23 14:27:23;TAG#14
204395;2018-08-23 14:27:24;TAG#14
204396;2018-08-23 14:27:25;TAG#14
204397;2018-08-23 14:27:25;TAG#14
204398;2018-08-23 14:27:26;TAG#14
204399;2018-08-23 14:27:26;TAG#14
204400;2018-08-23 14:27:27;TAG#14
204401;2018-08-23 14:27:28;TAG#14
204402;2018-08-23 14:27:28;TAG#14
204403;2018-08-23 14:27:29;TAG#14
204404;2018-08-23 14:27:29;TAG#14
204405;2018-08-23 14:27:30;TAG#14
204406;2018-08-23 14:27:31;TAG#14
204407;2018-08-23 14:27:31;TAG#14
204408;2018-08-23 14:27:32;TAG#14
204409;2018-08-23 14:27:32;TAG#14
204410;2018-08-23 14:27:33;TAG#14
204411;2018-08-23 14:27:33;TAG#14
204412;2018-08-23 14:27:34;TAG#14
204413;2018-08-23 14:27:35;TAG#14
204414;2018-08-23 14:27:44;TAG#14
204415;2018-08-23 14:27:44;TAG#14
204416;2018-08-23 14:27:45;TAG#14
204417;2018-08-23 14:27:46;TAG#14
204418;2018-08-23 14:27:46;TAG#14
204419;2018-08-23 14:27:47;TAG#14
204420;2018-08-23 14:27:47;TAG#14
204421;2018-08-23 14:27:48;TAG#14
204422;2018-08-23 14:27:49;TAG#14
204423;2018-08-23 14:27:49;TAG#14
204424;2018-08-23 14:27:50;TAG#14
204425;2018-08-23 14:27:50;TAG#14
204426;2018-08-23 14:27:51;TAG#14
204427;2018-08-23 14:27:52;TAG#14
204428;2018-08-23 14:27:52;TAG#14
204429;2018-08-23 14:27:53;TAG#14
204430;2018-08-23 14:27:53;TAG#14
204431;2018-08-23 14:27:54;TAG#14
204432;2018-08-23 14:27:54;TAG#14
204433;2018-08-23 14:27:55;TAG#14
204434;2018-08-23 14:27:56;TAG#14
204435;2018-08-23 14:27:56;TAG#14
204436;2018-08-23 14:27:57;TAG#14
204437;2018-08-23 14:27:57;TAG#14
204438;2018-08-23 14:27:58;TAG#14
204439;2018-08-23 14:27:59;TAG#14
204440;2018-08-23 14:27:59;TAG#14
204441;2018-08-23 14:28:00;TAG#14
204442;2018-08-23 14:28:00;TAG#14
204443;2018-08-23 14:28:01;TAG#14
204444;2018-08-23 14:28:02;TAG#14
204445;2018-08-23 14:28:02;TAG#14
204446;2018-08-23 14:28:03;TAG#14
204447;2018-08-23 14:28:03;TAG#14
204448;2018-08-23 14:28:04;TAG#14
204449;2018-08-23 14:28:05;TAG#14
204450;2018-08-23 14:28:05;TAG#14
204451;2018-08-23 14:28:06;TAG#14
204452;2018-08-23 14:28:06;TAG#14
204453;2018-08-23 14:28:07;TAG#14
204454;2018-08-23 14:28:08;TAG#14
204455;2018-08-23 14:28:08;TAG#14
204456;2018-08-23 14:28:09;TAG#14
204457;2018-08-23 14:28:09;TAG#14
204458;2018-08-23 14:28:10;TAG#14
204459;2018-08-23 14:28:11;TAG#14
204460;2018-08-23 14:28:12;TAG#14
204461;2018-08-23 14:28:13;TAG#14
204462;2018-08-23 14:28:13;TAG#14
204463;2018-08-23 14:28:14;TAG#14
204464;2018-08-23 14:28:15;TAG#14
204465;2018-08-23 14:28:15;TAG#14
204466;2018-08-23 14:28:16;TAG#14
204467;2018-08-23 14:28:16;TAG#14
204468;2018-08-23 14:28:17;TAG#14
204469;2018-08-23 14:28:18;TAG#14
204470;2018-08-23 14:28:18;TAG#14
204471;2018-08-23 14:28:19;TAG#14
204472;2018-08-23 14:28:19;TAG#14
204473;2018-08-23 14:28:20;TAG#14
204474;2018-08-23 14:28:21;TAG#14
204475;2018-08-23 14:28:21;TAG#14
204476;2018-08-23 14:28:22;TAG#14
204477;2018-08-23 14:28:22;TAG#14
204478;2018-08-23 14:28:23;TAG#14
204479;2018-08-23 14:28:24;TAG#14
204480;2018-08-23 14:28:24;TAG#14
204481;2018-08-23 14:28:25;TAG#14
204482;2018-08-23 14:28:25;TAG#14
204483;2018-08-23 14:28:26;TAG#14
204484;2018-08-23 14:29:26;TAG#16
204485;2018-08-23 14:29:27;TAG#16
204486;2018-08-23 14:29:27;TAG#16
204487;2018-08-23 14:29:32;TAG#17
204488;2018-08-23 14:29:33;TAG#17
204489;2018-08-23 14:29:52;TAG#18
204490;2018-08-23 14:31:13;TAG#19
204491;2018-08-23 14:31:14;TAG#19
204492;2018-08-23 14:31:14;TAG#19
204493;2018-08-23 14:31:31;TAG#14
204494;2018-08-23 14:32:03;TAG#20
204495;2018-08-23 14:32:03;TAG#20
204496;2018-08-23 14:32:08;TAG#0
204497;2018-08-23 14:32:08;TAG#0
204498;2018-08-23 14:32:11;TAG#1
204499;2018-08-23 14:32:12;TAG#1
204500;2018-08-23 14:41:58;TAG#2
204501;2018-08-23 14:41:59;TAG#2
204502;2018-08-23 14:49:07;TAG#3
204503;2018-08-23 14:49:08;TAG#3
204504;2018-08-23 14:55:09;TAG#4
204505;2018-08-23 14:55:09;TAG#4
204506;2018-08-23 14:55:10;TAG#4
204507;2018-08-23 14:55:45;TAG#5
204508;2018-08-23 14:55:45;TAG#5
204509;2018-08-23 14:55:46;TAG#5
204510;2018-08-23 14:59:11;TAG#6
204511;2018-08-23 14:59:12;TAG#6
204512;2018-08-23 14:59:12;TAG#6
204513;2018-08-23 14:59:13;TAG#6
204514;2018-08-23 14:59:13;TAG#6
204515;2018-08-23 14:59:14;TAG#6
204516;2018-08-23 14:59:15;TAG#6
204517;2018-08-23 14:59:15;TAG#6
204518;2018-08-23 14:59:16;TAG#6
204519;2018-08-23 14:59:16;TAG#6
204520;2018-08-23 14:59:17;TAG#6
204521;2018-08-23 14:59:18;TAG#6
204522;2018-08-23 14:59:18;TAG#6
204523;2018-08-23 14:59:19;TAG#6
204524;2018-08-23 14:59:19;TAG#6
204525;2018-08-23 14:59:20;TAG#6
204526;2018-08-23 14:59:21;TAG#6
204527;2018-08-23 14:59:21;TAG#6
204528;2018-08-23 14:59:22;TAG#6
204529;2018-08-23 14:59:22;TAG#6
204530;2018-08-23 14:59:23;TAG#6
204531;2018-08-23 14:59:24;TAG#6
204532;2018-08-23 14:59:24;TAG#6
204533;2018-08-23 14:59:25;TAG#6
204534;2018-08-23 14:59:25;TAG#6
204535;2018-08-23 14:59:26;TAG#6
204536;2018-08-23 14:59:26;TAG#6
204537;2018-08-23 14:59:27;TAG#6
204538;2018-08-23 14:59:28;TAG#6
204539;2018-08-23 14:59:28;TAG#6
204540;2018-08-23 14:59:29;TAG#6
204541;2018-08-23 14:59:29;TAG#6
204542;2018-08-23 14:59:30;TAG#6
204543;2018-08-23 14:59:31;TAG#6
204544;2018-08-23 14:59:31;TAG#6
204545;2018-08-23 14:59:33;TAG#6
204546;2018-08-23 14:59:33;TAG#6
204547;2018-08-23 14:59:34;TAG#6
204548;2018-08-23 14:59:34;TAG#6
204549;2018-08-23 14:59:35;TAG#6
204550;2018-08-23 14:59:35;TAG#6
204551;2018-08-23 14:59:36;TAG#6
204552;2018-08-23 15:01:37;TAG#4
204553;2018-08-23 15:03:09;TAG#7
204554;2018-08-23 15:03:27;TAG#8
204555;2018-08-23 15:03:27;TAG#8
204556;2018-08-23 15:03:28;TAG#8
204557;2018-08-23 15:07:59;TAG#9
204558;2018-08-23 15:07:59;TAG#9
204559;2018-08-23 15:08:10;TAG#10
204560;2018-08-23 15:08:10;TAG#10
204561;2018-08-23 15:11:27;TAG#11
204562;2018-08-23 15:11:27;TAG#11
204563;2018-08-23 15:11:28;TAG#11
204564;2018-08-23 15:11:29;TAG#11
204565;2018-08-23 15:11:29;TAG#11
204566;2018-08-23 15:11:30;TAG#11
204567;2018-08-23 15:11:30;TAG#11
204568;2018-08-23 15:11:31;TAG#11
204569;2018-08-23 15:11:32;TAG#11
204570;2018-08-23 15:11:32;TAG#11
204571;2018-08-23 15:11:34;TAG#11
204572;2018-08-23 15:11:35;TAG#11
204573;2018-08-23 15:11:35;TAG#11
204574;2018-08-23 15:11:36;TAG#11
204575;2018-08-23 15:11:36;TAG#11
204576;2018-08-23 15:11:37;TAG#11
204577;2018-08-23 15:11:38;TAG#11
204578;2018-08-23 15:11:38;TAG#11
204579;2018-08-23 15:11:39;TAG#11
